"Product ID";Imagen;Nombre;Referencia;Categoría;"Precio (imp. excl.)";"Precio (imp. incl.)";Cantidad;Estado;Posición
9822;https://subirananadons.com/21026/-juguetes-de-baño-mrs-rabbit-mr-fox.jpg;"Juguetes de baño Mrs. Rabbit & Mr. Fox";37-677;"Accesorios baño";13.181818;15.95;0;1
9369;https://subirananadons.com/18835/funkybox-menta-hoja.jpg;"Funkybox Menta Hoja";FB-60;"Cajas toallitas";13.966942;16.9;0;1
9334;https://subirananadons.com/18672/bolsa-muda-impermeable-fox.jpg;"Bolsa muda impermeable Fox";P30;"Bolsas muda";14.008264;16.95;-3;1
9529;https://subirananadons.com/19640/mordedor-llavero-silicona-azul.jpg;"Mordedor Llavero Silicona Azul";LD2006121;Mordedores;14.008264;16.95;0;1
9530;https://subirananadons.com/19646/mordedor-llavero-silicona-rosa.jpg;"Mordedor Llavero Silicona Rosa";LD2006122;Mordedores;14.008264;16.95;-3;1
9814;https://subirananadons.com/20994/bolsa-muda-impermeable-gofre.jpg;"Bolsa muda impermeable Gofre";P30;"Bolsas muda";14.008264;16.95;0;1
9827;https://subirananadons.com/21046/turbante-victoria.jpg;"Turbante Victoria";Turbant;"Ropa bebé";14.008264;16.95;0;1
9407;https://subirananadons.com/19006/sujetador-cómodo-maternidad-talla-s-negro.jpg;"Sujetador Cómodo Maternidad talla S negro";556;"Sujetadores embarazo i lactancia";14.041322;16.99;0;1
9439;https://subirananadons.com/19203/juego-de-2-mosquetones-camelvanillalavender.jpg;"Juego de 2 Mosquetones Camel/Vanilla/Lavender";1107009194;Varios;14.793388;17.9;0;1
9440;https://subirananadons.com/19205/juego-de-2-mosquetones-oliveredvanilla.jpg;"Juego de 2 Mosquetones Olive/Red/Vanilla";1107009377;Varios;14.793388;17.9;0;1
9488;https://subirananadons.com/19458/adaptadores-patinete-confort-donkey.jpg;"Adaptadores patinete Confort+ Donkey";881591;Patinets;14.834711;17.95;0;1
9820;https://subirananadons.com/21009/cubos-apilables-mr-lion.jpg;"Cubos apilables Mr. Lion";37-680;"Accesorios baño";14.834711;17.95;0;1
9801;https://subirananadons.com/20953/cubo-blandito-de-actividades-sailors-bay.jpg;"Cubo blandito de actividades Sailors Bay";LD8609;Varios;15.289256;18.5;0;1
9384;https://subirananadons.com/18896/madera-puente-doco-90x50.jpg;"Madera puente Doco 90x50";ZPUES;"Cuna, colecho y moisés";15.702479;19;0;1
9687;https://subirananadons.com/20356/bolsa-deslizante-wildride.jpg;"Bolsa deslizante Wildride";WR2810003;"Fulares y bandoleras";15.702479;19;0;1
9602;https://subirananadons.com/19965/cuña-de-reclinado-axkid.jpg;"Cuña de reclinado Axkid";AX806707;"Accesorios coche";16.446280;19.9;0;1
9618;https://subirananadons.com/20035/pack-2-extensiones-barrera-a-presión-negro.jpg;"Pack 2 extensiones barrera a presión Negro";500165;"Barandillas de escalera";16.446280;19.9;0;1
9619;https://subirananadons.com/20037/pack-2-extensiones-barrera-a-presión-blanco.jpg;"Pack 2 extensiones barrera a presión Blanco";500160;"Barandillas de escalera";16.446280;19.9;0;1
9324;https://subirananadons.com/18627/plato-silicona-lalee-arena.jpg;"Plato silicona Lalee Arena";1749249;"Paltos y cubiertos";16.487603;19.95;0;1
9367;https://subirananadons.com/19852/pack-2-mordedores-papayaarena.jpg;"Pack 2 mordedores Papaya/Arena";4019106;Mordedores;16.487603;19.95;-2;1
9411;https://subirananadons.com/19026/vajilla-foodie-first-meal-playground-azul.jpg;"Vajilla Foodie First Meal Playground Azul";1546412;"Paltos y cubiertos";16.487603;19.95;-3;1
9581;https://subirananadons.com/19877/cubo-blandito-de-actividades-pequeña-granja.jpg;"Cubo blandito de actividades Pequeña Granja";LD8809;Varios;16.487603;19.95;0;1
9691;https://subirananadons.com/20364/cesta-grande-fairy-wonders.jpg;"Cesta grande Fairy Wonders";LDTE30504031;"Luces y decoración";16.487603;19.95;0;1
9694;https://subirananadons.com/20375/sábana-encimera-6070-fairy-flowers-bordado.jpg;"Sábana encimera 60/70 Fairy Flowers bordado";LDTE10154031;Sábanas;16.487603;19.95;0;1
9695;https://subirananadons.com/20377/bajera-70-fairy-blossom.jpg;"Bajera 70 Fairy Blossom";LDTE10594031;Sábanas;16.487603;19.95;0;1
9698;https://subirananadons.com/20393/vajilla-foodie-first-meal-playground-rosa.jpg;"Vajilla Foodie First Meal Playground Rosa";1546411;"Paltos y cubiertos";16.487603;19.95;0;1
9769;https://subirananadons.com/20775/juguete-de-agarre-y-mordedor-sheepy-arena.jpg;"Juguete de agarre y mordedor Sheepy Arena";4356199;Mordedores;16.487603;19.95;0;1
9802;https://subirananadons.com/20958/pack-2-mordedores-arenacoral.jpg;"Pack 2 mordedores Arena/Coral";4329097;Mordedores;16.487603;19.95;0;1
9523;https://subirananadons.com/19618/protector-de-respaldo-con-organizador.jpg;"Protector de respaldo con organizador";EZM-302-001;"Accesorios coche";16.520661;19.99;0;1
9879;https://subirananadons.com/21277/espiral-ocas.jpg;"Espiral Ocas";LD881;Varios;17.768595;21.5;0;1
9368;https://subirananadons.com/18833/collage-de-marcos-blanco.jpg;"Collage de marcos Blanco";P63021;Varios;18.140496;21.95;-1;1
9501;https://subirananadons.com/19499/muselina-algodón-90x90-astrid-sin-flecos.jpg;"Muselina algodón 90x90 Astrid (sin flecos)";P131;Muselinas;18.140496;21.95;-1;1
9505;https://subirananadons.com/19994/muselina-algodón-90x90-plumeti-rosa-sin-flecos.jpg;"Muselina algodón 90x90 Plumeti Rosa (sin flecos)";P131;Muselinas;18.140496;21.95;0;1
9569;https://subirananadons.com/19820/bata-wally-rosa.jpg;"Bata Wally Rosa";1343821;Baberos;18.140496;21.95;-3;1
9570;https://subirananadons.com/19824/bata-wally-azul.jpg;"Bata Wally Azul";1343822;Baberos;18.140496;21.95;-1;1
9580;https://subirananadons.com/19868/libro-de-actividades-blando-pequeña-granja.jpg;"Libro de actividades blando Pequeña Granja";LD8807;Varios;18.140496;21.95;-3;1
9593;https://subirananadons.com/19923/muselina-algodón-90x90-azul-muselina-sin-flecos.jpg;"Muselina algodón 90x90 Azul Muselina (sin flecos)";P131;Muselinas;18.140496;21.95;0;1
9715;https://subirananadons.com/20465/muselina-algodón-90x90-plumeti-balnco-sin-flecos.jpg;"Muselina algodón 90x90 Plumeti Balnco (sin flecos)";P131;Muselinas;18.140496;21.95;0;1
9737;https://subirananadons.com/20579/doudou-dotti-arena.jpg;"Doudou Dotti Arena";4353929;"Doudous y peluches";18.140496;21.95;0;1
9741;https://subirananadons.com/20599/bata-tiny-farm-rosa.jpg;"Bata Tiny Farm Rosa";1353711;Baberos;18.140496;21.95;0;1
9742;https://subirananadons.com/20603/bata-tiny-farm-azul.jpg;"Bata Tiny Farm Azul";1353732;Baberos;18.140496;21.95;-1;1
9823;https://subirananadons.com/21037/muselina-algodón-90x90-vichy-reversible-pequeño-sin-flecos.jpg;"Muselina algodón 90x90 Vichy Reversible Pequeño (sin flecos)";P131;Muselinas;18.140496;21.95;0;1
9824;https://subirananadons.com/21039/muselina-algodón-90x90-vichy-reversible-grande-sin-flecos.jpg;"Muselina algodón 90x90 Vichy Reversible Grande (sin flecos)";P131;Muselinas;18.140496;21.95;0;1
9811;https://subirananadons.com/20982/cesta-waffle-curry.jpg;"Cesta Waffle Curry";"B46 104 48";"Luces y decoración";18.181818;22;0;1
9641;https://subirananadons.com/20168/bajera-capazo-con-saca-babitas-ginko-verde.jpg;"Bajera capazo con saca babitas Ginko Verde";"B240.17 GV";"Bajeras y sabanas de capazo";18.884298;22.85;0;1
9642;https://subirananadons.com/20170/bajera-capazo-con-saca-babitas-ginko-gris.jpg;"Bajera capazo con saca babitas Ginko Gris";"B240.05 GG";"Bajeras y sabanas de capazo";18.884298;22.85;0;1
9690;https://subirananadons.com/20361/funda-cambiador-fairy-wonders.jpg;"Funda cambiador Fairy Wonders";LDTE30804031;"Cambiadores y fundas";18.966942;22.95;0;1
9383;https://subirananadons.com/18894/puente-espuma-doco-90x50.jpg;"Puente espuma Doco 90x50";ZPUES82;"Cuna, colecho y moisés";19.008264;23;-2;1
9376;https://subirananadons.com/18861/funda-cambiador-70-mr-tender.jpg;"Funda cambiador 70 Mr. Tender";"E34 403 00";"Cambiadores y fundas";19.752066;23.9;0;1
9609;https://subirananadons.com/19991/cesta-cosmos-rosa.jpg;"Cesta Cosmos Rosa";"E15 771 70";"Luces y decoración";19.752066;23.9;0;1
9465;https://subirananadons.com/19351/bolsa-muda-impermeable-personalizada-camel-muselina.jpg;"Bolsa muda personalizada impermeable Camel Muselina";P30;"Bolsas muda";19.793388;23.95;0;1
9590;https://subirananadons.com/19906/bolsa-muda-personalizada-impermeable-birds.jpg;"Bolsa muda personalizada impermeable Birds";P30;"Bolsas muda";19.793388;23.95;0;1
9282;https://subirananadons.com/18403/funda-cambiador-sunshine.jpg;"Funda cambiador Sunshine";"B36 405 00";"Cambiadores y fundas";19.834711;24;0;1
9707;https://subirananadons.com/20425/caja-de-música-joiero-rosa-fairy-wonders.jpg;"Caja de música joiero rosa Fairy Wonders";LD126237;Varios;19.991736;24.19;0;1
9317;https://subirananadons.com/18582/juego-de-ccubiertos-deer-friends-grey.jpg;"Juego de ccubiertos Deer Friends Grey";1126861;"Paltos y cubiertos";20.619835;24.95;0;1
9484;https://subirananadons.com/19431/vajilla-foodie-first-meal-happy-clouds-verde.jpg;"Vajilla Foodie First Meal Happy Clouds Verde";1596513;"Paltos y cubiertos";20.619835;24.95;-4;1
9554;https://subirananadons.com/19772/-caja-sorpresa-nozo-.jpg;"Caja sorpresa Nozo";4844687;Varios;20.619835;24.95;0;1
9578;https://subirananadons.com/19857/pack-2-anillas-de-actividades-happy-clouds-arena.jpg;"Pack 2 anillas de actividades Happy Clouds Arena";4233669;Varios;20.619835;24.95;0;1
